奥运村	3室2厅2卫 	 148 	 精装修 	 10	 南北向 	9000
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
昌平县城	3室1厅1卫 	 90 	 精装修 	 6	 南北向 	2500
百子湾	1室1厅1卫 	 56 	 精装修 	 4	 北向 	4300
亚运村	3室2厅2卫 	 12 	 精装修 	 9	 南向 	760
中关村	2室1厅1卫 	 65 	 中等装修 	 4	 南北向 	4200
回龙观	3室2厅2卫 	 127 	 精装修 	 3	 南向 	3700
郁花园	1室1厅1卫 	 12 	 精装修 	 6	 南北向 	1400
德胜门	2室 	 70 	None	 7	 南向 	4600
天通苑	3室 	 13 	None	 5	 西向 	800
回龙观	1室1厅1卫 	 51 	None	 4	 西向 	3200
魏公村	3室1厅2卫 	 136 	 精装修 	 7	 西北向 	12000
模式口	2室 	 20 	None	 6	 南向 	1350
安贞	3室 	 8 	None	 5	 北向 	1300
潘家园	3室2厅1卫 	 116 	 精装修 	 8	 西南向 	4800
小营	1室1厅1卫 	 66 	 精装修 	 19	 北向 	5000
玉泉营	1室1厅1卫 	 53 	 中等装修 	 1	 北向 	3700
八里庄	1室1厅1卫 	 55 	 精装修 	 4	 西向 	3000
常营	2室1厅1卫 	 80 	 精装修 	 3	 南北向 	2850
管庄	3室2厅2卫 	 139 	None	 5	 南北向 	6000
大红门	2室1厅1卫 	 70 	 简单装修 	 4	 南北向 	4000
良乡	2室1厅1卫 	 95 	 中等装修 	 6	 南北向 	2200
杨庄	2室1厅1卫 	 88 	None	 5	 东西向 	3500
西直门	2室1厅1卫 	 60 	 精装修 	 2	 东南向 	4700
甘露园	1室1厅1卫 	 55 	 精装修 	 4	 南向 	3000
花市	1室 	 52 	None	 3	 南向 	3300
四季青	2室1厅1卫 	 75 	None	 2	 南北向 	3500
后沙峪	2室1厅1卫 	 98 	None	 2	 南北向 	4500
新发地	2室1厅1卫 	 69 	 简单装修 	 2	 南北向 	3200
天通苑	2室 	 19 	None	 3	 南向 	1200
洋桥	2室1厅1卫 	 76 	None	 18	 东向 	4300
洋桥	3室2厅2卫 	 143 	None	 5	 南北向 	7500
潘家园	2室1厅1卫 	 60 	None	 6	 南北向 	3600
魏公村	2室1厅1卫 	 62 	None	 14	 南向 	5000
管庄	1室 	 31 	None	 2	 北向 	1300
木樨园	3室 	 12 	None	 6	 南向 	850
什刹海	2室1厅1卫 	 60 	None	 精装修 	 南向 	4500
北大地	1室1厅1卫 	 64 	 精装修 	 6	 南向 	3500
西北旺	4室3厅3卫 	 240 	 精装修 	 2	 南北向 	6500
四季青	3室 	 100 	None	 1	 南北向 	9000
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
昌平县城	3室1厅1卫 	 90 	 精装修 	 6	 南北向 	2500
百子湾	1室1厅1卫 	 56 	 精装修 	 4	 北向 	4300
亚运村	3室2厅2卫 	 12 	 精装修 	 9	 南向 	760
定慧寺	3室2厅2卫 	 165 	 精装修 	 6	 东西向 	5600
百子湾	1室1厅1卫 	 56 	 精装修 	 16	 南向 	4500
